problem_name,problem_approach,n,p,run_id,cycles,instructions,cache-references,cache-misses,bus-cycles,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,dTLB-loads,dTLB-load-misses,LLC-loads,LLC-load-misses,LLC-stores,branches,branch-misses,context-switches,cpu-migrations,page-faults
divide_and_conquer,pi_reduction,10,2,2,51206454.0,30549114.0,923693.0,311653.0,2638884.0,1277505.0,49006.0,452276.0,529109.0,9877.0,340962.0,220394.0,62165.0,538199.0,23010.0,45.0,5.0,94.0
divide_and_conquer,pi_reduction,10,2,5,33120711.0,9155713.0,525101.0,217283.0,1353414.0,350476.0,217167.0,1041089.0,1362891.0,5563.0,40724.0,24425.0,1445.0,515489.0,23660.0,37.0,4.0,94.0
divide_and_conquer,pi_reduction,10,2,4,9958983.0,2952763.0,189019.0,107960.0,465337.0,622668.0,210722.0,1050387.0,712484.0,8820.0,51070.0,35641.0,953.0,845452.0,53623.0,120.0,7.0,93.0
divide_and_conquer,pi_reduction,100,1,1,4748941.0,2160758.0,90568.0,27895.0,258204.0,2318028.0,218653.0,270042.0,1173728.0,37277.0,123410.0,46190.0,19628.0,523573.0,27290.0,39.0,2.0,96.0
divide_and_conquer,pi_reduction,100,1,3,8266951.0,2534827.0,135254.0,77559.0,384351.0,1827123.0,632279.0,7087215.0,9543937.0,17180.0,1243257.0,699705.0,48074.0,799364.0,52597.0,126.0,9.0,94.0
divide_and_conquer,pi_reduction,100,1,2,7088014.0,2276387.0,116484.0,70770.0,351198.0,970610.0,424333.0,2378072.0,1331727.0,6911.0,576777.0,244319.0,72583.0,4040216.0,175283.0,301.0,34.0,170.0
divide_and_conquer,pi_reduction,100,1,5,6022830.0,2376642.0,108252.0,43838.0,326816.0,347879.0,183904.0,834503.0,1252433.0,4840.0,46699.0,9011.0,7973.0,488847.0,25459.0,47.0,4.0,92.0
divide_and_conquer,pi_reduction,100,1,4,6791636.0,2358836.0,119636.0,53213.0,342362.0,481810.0,200014.0,807443.0,626177.0,7697.0,42080.0,14719.0,10614.0,502061.0,25856.0,41.0,5.0,93.0
divide_and_conquer,pi_reduction,1000,4,1,48632218.0,18583240.0,629724.0,236422.0,1954589.0,437565.0,212540.0,1059144.0,749345.0,7031.0,25173.0,22309.0,10885.0,16134503.0,380027.0,370.0,41.0,378.0
divide_and_conquer,pi_reduction,1000,4,3,29200921.0,11807966.0,139960.0,83051.0,1136027.0,2057336.0,530584.0,2023703.0,459847.0,17277.0,47872.0,33899.0,8552.0,1941083.0,27378.0,45.0,6.0,101.0
divide_and_conquer,pi_reduction,1000,4,2,41060594.0,15634613.0,149748.0,90777.0,1525883.0,6468857.0,773541.0,4560562.0,5781283.0,7825.0,45544.0,7647.0,9305.0,1794850.0,26336.0,45.0,7.0,99.0
divide_and_conquer,pi_reduction,1000,4,5,8296662.0,2981858.0,141511.0,32537.0,411316.0,766252.0,272727.0,696777.0,3354352.0,8611.0,49854.0,34407.0,7386.0,4270570.0,36403.0,76.0,11.0,99.0
divide_and_conquer,pi_reduction,1000,4,4,41049348.0,15856589.0,180590.0,97889.0,1664675.0,1631820.0,111170.0,432880.0,3559733.0,9949.0,23665.0,21602.0,10428.0,4234767.0,32703.0,67.0,7.0,99.0
divide_and_conquer,pi_reduction,100,2,1,8365109.0,2450052.0,134005.0,87700.0,394131.0,6287116.0,966916.0,6421473.0,3655761.0,12719.0,91850.0,79040.0,29661.0,3455881.0,146786.0,232.0,41.0,129.0
